id	label
DOID:0060034	dropped head syndrome
DOID:0070336	arthrogryposis multiplex congenita-6
DOID:0070355	overactive bladder syndrome
DOID:0070358	primary biliary cholangitis 1
DOID:0070359	primary biliary cholangitis 2
DOID:0070360	primary biliary cholangitis 3
DOID:0070361	primary biliary cholangitis 4
DOID:0070362	primary biliary cholangitis 5
DOID:0070363	bradyopsia 1
DOID:0070364	bradyopsia 2
DOID:0070365	nevoid basal cell carcinoma syndrome 1
DOID:0070366	nevoid basal cell carcinoma syndrome 2
DOID:0070367	leukoencephalopathy with vanishing white matter 5
DOID:0070368	autosomal recessive chronic granulomatous disease 5
DOID:0070369	restrictive dermopathy 1
DOID:0070370	restrictive dermopathy 2
DOID:0070371	leukoencephalopathy with vanishing white matter 4
DOID:0070372	leukoencephalopathy with vanishing white matter 3
DOID:0070373	leukoencephalopathy with vanishing white matter 2
DOID:0070374	leukoencephalopathy with vanishing white matter 1
DOID:0070375	developmental and epileptic encephalopathy 64
DOID:0070376	developmental and epileptic encephalopathy 31B
DOID:0070377	developmental and epileptic encephalopathy 96
DOID:0070378	developmental and epileptic encephalopathy 109
DOID:0070379	developmental and epileptic encephalopathy 6B
DOID:0070380	developmental and epileptic encephalopathy 85
DOID:0070381	developmental and epileptic encephalopathy 90
DOID:0070382	developmental and epileptic encephalopathy 95
DOID:0070383	developmental and epileptic encephalopathy 97
DOID:0070384	developmental and epileptic encephalopathy 98
DOID:0070385	developmental and epileptic encephalopathy 99
DOID:0070386	developmental and epileptic encephalopathy 100
DOID:0070387	developmental and epileptic encephalopathy 101
DOID:0070388	developmental and epileptic encephalopathy 102
DOID:0070389	developmental and epileptic encephalopathy 103
DOID:0070390	developmental and epileptic encephalopathy 104
DOID:0070391	developmental and epileptic encephalopathy 105
DOID:0070392	developmental and epileptic encephalopathy 106
DOID:0070393	developmental and epileptic encephalopathy 107
DOID:0070394	developmental and epileptic encephalopathy 108
DOID:0070395	developmental and epileptic encephalopathy 110
DOID:0070396	progressive leukoencephalopathy with ovarian failure
DOID:0070397	hypomyelinating leukodystrophy 23
DOID:0070398	hypomyelinating leukodystrophy 15
DOID:0070399	hypomyelinating leukodystrophy 18
DOID:0070400	hypomyelinating leukodystrophy 19
DOID:0070401	hypomyelinating leukodystrophy 25
DOID:0070402	hypomyelinating leukodystrophy 22
DOID:0070403	hypomyelinating leukodystrophy 26
DOID:0070404	hypomyelinating leukodystrophy 17
DOID:0070405	hypomyelinating leukodystrophy 16
DOID:0070406	hypomyelinating leukodystrophy 24
DOID:0070407	hypomyelinating leukodystrophy 21
DOID:0070408	Hengel-Maroofian-Schols syndrome
DOID:0070409	autosomal recessive spinocerebellar ataxia 28
DOID:0070410	autosomal recessive spinocerebellar ataxia 29
DOID:0070411	autosomal recessive spinocerebellar ataxia 30
DOID:0070412	autosomal recessive spinocerebellar ataxia 31
DOID:0070413	autosomal recessive spinocerebellar ataxia 32
DOID:0070414	autosomal recessive spinocerebellar ataxia 33
DOID:0070415	brachycephaly, trichomegaly, and developmental delay
DOID:0070416	Luo-Schoch-Yamamoto syndrome
DOID:0070417	neurodevelopmental disorder with speech impairment and dysmorphic facies
DOID:0070418	vertebral hypersegmentation and orofacial anomalies
DOID:0070419	acrocardiofacial syndrome
DOID:0070420	developmental delay, hypotonia, and impaired language
DOID:0070421	neurodevelopmental disorder with spasticity and poor growth
DOID:0070422	syndromic X-linked intellectual disability Pilorge type
DOID:0070423	early onset progressive encephalopathy with brain atrophy and thin corpus callosum
DOID:0070424	combined oxidative phosphorylation deficiency 44
DOID:0070425	combined oxidative phosphorylation deficiency 52
DOID:0070426	combined oxidative phosphorylation deficiency 53
DOID:0070427	combined oxidative phosphorylation deficiency 54
DOID:0070428	combined oxidative phosphorylation deficiency 55
DOID:0070429	combined oxidative phosphorylation deficiency 56
DOID:0070430	combined oxidative phosphorylation deficiency 57
DOID:0070431	hyperphosphatasia with impaired intellectual development syndrome
DOID:0070432	hyperphosphatasia with impaired intellectual development syndrome 5
DOID:0070433	hyperphosphatasia with impaired intellectual development syndrome 1
DOID:0070434	hyperphosphatasia with impaired intellectual development syndrome 2
DOID:0070435	hyperphosphatasia with impaired intellectual development syndrome 3
DOID:0070436	hyperphosphatasia with impaired intellectual development syndrome 4
DOID:0070437	hyperphosphatasia with impaired intellectual development syndrome 6
DOID:0070438	retinal macular dystrophy
DOID:0070439	North Carolina macular dystrophy
DOID:0070440	retinal macular dystrophy 3
DOID:0070441	retinal macular dystrophy 4
DOID:0070442	paroxysmal nonkinesigenic dyskinesia 3
DOID:0070443	neurodevelopmental disorder with cerebellar atrophy and motor dysfunction
DOID:0070444	neurodevelopmental disorder with language delay and seizures
DOID:0070445	early-onset dystonia and/or spastic paraplegia
DOID:0070446	mitochondrial DNA depletion syndrome 16
DOID:0070447	mitochondrial DNA depletion syndrome 16B
DOID:0070448	mitochondrial DNA depletion syndrome 17
DOID:0070449	mitochondrial DNA depletion syndrome 18
DOID:0070450	mitochondrial DNA depletion syndrome 19
DOID:0070451	mitochondrial DNA depletion syndrome 20
DOID:0070452	xanthinuria type I
DOID:0070453	xanthinuria type II
DOID:0070454	hereditary spastic paraplegia 70
DOID:0070455	hereditary spastic paraplegia 79A
DOID:0070456	hereditary spastic paraplegia 87
DOID:0070457	hereditary spastic paraplegia 88
DOID:0070458	hereditary spastic paraplegia 89
DOID:0070459	hereditary spastic paraplegia 90A
DOID:0070460	hereditary spastic paraplegia 90B
DOID:0070461	mitochondrial complex V (ATP synthase) deficiency nuclear type 4A
DOID:0070462	mitochondrial complex V (ATP synthase) deficiency nuclear type 4B
DOID:0070463	mitochondrial complex V (ATP synthase) deficiency nuclear type 5
DOID:0070464	mitochondrial complex V (ATP synthase) deficiency nuclear type 7
DOID:0070466	carpal tunnel syndrome 1
DOID:0070467	carpal tunnel syndrome 2
DOID:0081012	critical COVID-19
DOID:0081013	severe COVID-19
DOID:0081014	non-severe COVID-19
DOID:0081015	congenital fibrosis of the extraocular muscles 1
DOID:0081016	congenital fibrosis of the extraocular muscles 2
DOID:0081017	congenital fibrosis of the extraocular muscles 3A
DOID:0081019	congenital fibrosis of the extraocular muscles 3C
DOID:0081020	congenital fibrosis of the extraocular muscles 5
DOID:0081021	Tukel syndrome
DOID:0081022	retinal cone dystrophy 3B
DOID:0081023	retinal cone dystrophy 4
DOID:0081024	retinal cone dystrophy 1
DOID:0081025	retinal cone dystrophy 3A
DOID:0081026	benign peritoneal solitary fibrous tumor
DOID:0081028	glycogen-rich carcinoma
DOID:0081030	central conducting lymphatic anomaly
DOID:0081031	generalized lymphatic anomaly
DOID:0081034	glutatione synthetase deficiency with 5-oxoprolinuria
DOID:0081036	mixed phenotype acute leukemia with BCR-ABL1
DOID:0081037	mixed phenotype acute leukemia with MLL rearranged
DOID:0081038	mixed phenotype acute leukemia, B/myeloid
DOID:0081039	mixed phenotype acute leukemia, T/myeloid
DOID:0081041	B-cell prolymphocytic leukemia
DOID:0081042	T-cell prolymphocytic leukemia
DOID:0081043	fetal akinesia deformation sequence syndrome X-linked
DOID:0081044	frontonasal dysplasia
DOID:0081045	frontonasal dysplasia 1
DOID:0081046	frontonasal dysplasia 2
DOID:0081047	frontonasal dysplasia 3
DOID:0081048	congenital limbs-face contractures-hypotonia-developmental delay syndrome
DOID:0081049	hepatosplenic T-cell lymphoma
DOID:0081050	primary cutaneous gamma-delta T-cell lymphoma
DOID:0081051	microcephaly, growth deficiency, seizures, and brain malformations
DOID:0081052	neurobehavioral disorder with prenatal alcohol exposure
DOID:0081055	central diabetes insipidus
DOID:0081057	gestational diabetes insipidus
DOID:0081058	dipsogenic diabetes insipidus
DOID:0081059	X-linked central diabetes insipidus
DOID:0081060	X-linked nephrogenic diabetes insipidus
DOID:0081061	nephrogenic diabetes insipidus type 2
DOID:0081062	obsolete diabetes
DOID:0081063	DICER1 syndrome
DOID:0081064	BN2 diffuse large B-cell lymphoma
DOID:0081065	EZB diffuse large B-cell lymphoma
DOID:0081066	MCD diffuse large B-cell lymphoma
DOID:0081067	N1 diffuse large B-cell lymphoma
DOID:0081068	ST2 diffuse large B-cell lymphoma
DOID:0081069	A53 diffuse large B-cell lymphoma
DOID:0081070	EZB-MYC+ diffuse large B-cell lymphoma
DOID:0081071	EZB-MYC- diffuse large B-cell lymphoma
DOID:0081072	craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome
DOID:0081073	Teebi hypertelorism syndrome
DOID:0081074	Teebi hypertelorism syndrome 2
DOID:0081075	Marsili syndrome
DOID:0081076	blastic plasmacytoid dendritic cell neoplasm
DOID:0081077	ectodermal dysplasia and immune deficiency
DOID:0081078	ectodermal dysplasia and immunodeficiency 1
DOID:0081079	ectodermal dysplasia and immunodeficiency 2
DOID:0081080	acute myeloid leukemia with t(6;9) (p23;q34.1)
DOID:0081081	acute promyelocytic leukemia with PML-RARA
DOID:0081082	acute myelomonocytic leukemia
DOID:0081083	acute myeloid leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2)
DOID:0081084	acute myeloid leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22)
DOID:0081085	acute myeloid leukemia with minimal differentiation
DOID:0081086	acute myeloid leukemia without maturation
DOID:0081087	acute myeloid leukemia with maturation
DOID:0081088	chronic myelogenous leukemia, BCR-ABL1 positive
DOID:0081089	acute myeloid leukemia with mutated NPM1
DOID:0081090	acute myeloid leukemia with biallelic mutation of CEBPA
DOID:0081091	acute myeloid leukemia with mutated RUNX1
DOID:0081092	acute myeloid leukemia with myelodysplasia-related changes
DOID:0081093	acute myeloid leukemia with t(8;21); (q22; q22.1)
DOID:0081094	acute myeloid leukemia with MLL rearrangement
DOID:0081095	acute myeloid leukemia with mutated CEBPA
DOID:0081096	acute myeloid leukemia with t(1;22)(p13;q13)
DOID:0081097	Rafiq syndrome
DOID:0081098	autosomal recessive intellectual developmental disorder 13
DOID:0081099	neurodevelopmental disorder with brain abnormalities, poor growth, and dysmorphic facies
DOID:0081100	spastic paraplegia with deafness
DOID:0081101	nonautoimmune hyperthyroidism
DOID:0081102	familial gestational hyperthyroidism
DOID:0081104	hot water epilepsy
DOID:0081105	keratosis palmoplantaris striata
DOID:0081106	hot water epilepsy 1
DOID:0081107	hot water epilepsy 2
DOID:0081108	keratosis palmoplantaris striata 1
DOID:0081109	keratosis palmoplantaris striata 2
DOID:0081110	keratosis palmoplantaris striata 3
DOID:0081111	osteosclerotic metaphyseal dysplasia
DOID:0081112	Baraitser-Winter syndrome 1
DOID:0081113	Baraitser-Winter syndrome 2
DOID:0081114	benign familial infantile seizures 1
DOID:0081115	benign familial infantile seizures 2
DOID:0081116	benign familial infantile seizures 3
DOID:0081117	benign familial infantile seizures 4
DOID:0081118	benign familial infantile seizures 5
DOID:0081119	benign familial infantile seizures 6
DOID:0081120	Graves ophthalmopathy
DOID:0081121	inclusion body myopathy and brain white matter abnormalities
DOID:0081122	Catel Manzke syndrome
DOID:0081123	X-linked mental retardation Gustavson type
DOID:0081124	craniofacial dysmorphism, skeletal anomalies, and impaired intellectual development syndrome 1
DOID:0081125	craniofacial dysmorphism, skeletal anomalies, and impaired intellectual development syndrome 2
DOID:0081126	DeSanto-Shinawi syndrome
DOID:0081127	mandibuloacral dysplasia
DOID:0081128	mandibuloacral dysplasia type A lipodystrophy
DOID:0081129	mandibuloacral dysplasia type B lipodystrophy
DOID:0081130	BH4-deficient hyperphenylalaninemia C
DOID:0081131	BH4-deficient hyperphenylalaninemia D
DOID:0081132	tetrahydrobiopterin (BH4)-deficient hyperphenylalaninemia
DOID:0081133	3-methylglutaconic aciduria type 7a
DOID:0081134	3-methylglutaconic aciduria type 7b
DOID:0081135	agammaglobulinemia 2
DOID:0081136	agammaglobulinemia 1
DOID:0081137	agammaglobulinemia 3
DOID:0081138	agammaglobulinemia 6
DOID:0081139	agammaglobulinemia 7
DOID:0081140	agammaglobulinemia 8A
DOID:0081141	agammaglobulinemia 9
DOID:0081142	agammaglobulinemia 10
DOID:0081143	agammaglobulinemia 8B
DOID:0081144	common variable immunodeficiency 1
DOID:0081145	common variable immunodeficiency 2
DOID:0081146	common variable immunodeficiency 3
DOID:0081147	common variable immunodeficiency 4
DOID:0081148	common variable immunodeficiency 5
DOID:0081149	common variable immunodeficiency 6
DOID:0081150	common variable immunodeficiency 7
DOID:0081151	common variable immunodeficiency 8
DOID:0081152	common variable immunodeficiency 10
DOID:0081153	common variable immunodeficiency 11
DOID:0081154	common variable immunodeficiency 12
DOID:0081155	common variable immunodeficiency 13
DOID:0081156	common variable immunodeficiency 14
DOID:0081157	dilated cardiomyopathy 1LL
DOID:0081158	dilated cardiomyopathy 1MM
DOID:0081159	dilated cardiomyopathy 2C
DOID:0081160	dilated cardiomyopathy 2D
DOID:0081161	dilated cardiomyopathy 2E
DOID:0081162	dilated cardiomyopathy 2F
DOID:0081163	dilated cardiomyopathy 2G
DOID:0081164	dilated cardiomyopathy 3B
DOID:0081168	HMG-CoA synthase 2 deficiency
DOID:0081169	Leber congenital amaurosis 19
DOID:0081175	short stature, hearing loss, retinitis pigmentosa, and distinctive facies
DOID:0081176	hypotonia, ataxia, and delayed development syndrome
DOID:0081177	autosomal recessive intellectual developmental disorder 1
DOID:0081178	autosomal recessive intellectual developmental disorder 2
DOID:0081179	autosomal recessive intellectual developmental disorder 3
DOID:0081180	autosomal recessive intellectual developmental disorder 12
DOID:0081181	autosomal recessive intellectual developmental disorder 5
DOID:0081182	autosomal recessive intellectual developmental disorder 6
DOID:0081183	autosomal recessive intellectual developmental disorder 7
DOID:0081184	autosomal recessive intellectual developmental disorder 9/26
DOID:0081185	autosomal recessive intellectual developmental disorder 10/20
DOID:0081186	autosomal recessive intellectual developmental disorder 11
DOID:0081187	autosomal recessive intellectual developmental disorder 4
DOID:0081188	autosomal recessive intellectual developmental disorder 14
DOID:0081189	autosomal recessive intellectual developmental disorder 16
DOID:0081190	autosomal recessive intellectual developmental disorder 18
DOID:0081191	autosomal recessive intellectual developmental disorder 31
DOID:0081192	autosomal recessive intellectual developmental disorder 29
DOID:0081193	autosomal recessive intellectual developmental disorder 27
DOID:0081194	autosomal recessive intellectual developmental disorder 33
DOID:0081195	autosomal recessive intellectual developmental disorder 30
DOID:0081196	autosomal recessive intellectual developmental disorder 23
DOID:0081197	autosomal recessive intellectual developmental disorder 24
DOID:0081198	autosomal recessive intellectual developmental disorder 25
DOID:0081199	autosomal recessive intellectual developmental disorder 28
DOID:0081200	autosomal recessive intellectual developmental disorder 34
DOID:0081201	autosomal recessive intellectual developmental disorder 35
DOID:0081202	autosomal recessive intellectual developmental disorder 37
DOID:0081203	autosomal recessive intellectual developmental disorder 38
DOID:0081204	autosomal recessive intellectual developmental disorder 39
DOID:0081205	autosomal recessive intellectual developmental disorder 40
DOID:0081206	autosomal recessive intellectual developmental disorder 41
DOID:0081207	autosomal recessive intellectual developmental disorder 43
DOID:0081208	autosomal recessive intellectual developmental disorder 44
DOID:0081209	autosomal recessive intellectual developmental disorder 45
DOID:0081210	autosomal recessive intellectual developmental disorder 46
DOID:0081211	autosomal recessive intellectual developmental disorder 47
DOID:0081212	autosomal recessive intellectual developmental disorder 48
DOID:0081213	autosomal recessive intellectual developmental disorder 50
DOID:0081214	autosomal recessive intellectual developmental disorder 51
DOID:0081215	autosomal recessive intellectual developmental disorder 52
DOID:0081216	autosomal recessive intellectual developmental disorder 54
DOID:0081217	autosomal recessive intellectual developmental disorder 56
DOID:0081218	autosomal recessive intellectual developmental disorder 74
DOID:0081219	autosomal recessive intellectual developmental disorder 57
DOID:0081220	autosomal recessive intellectual developmental disorder 58
DOID:0081221	autosomal recessive intellectual developmental disorder 59
DOID:0081222	autosomal recessive intellectual developmental disorder 60
DOID:0081223	glycosylphosphatidylinositol biosynthesis defect 16
DOID:0081224	autosomal recessive intellectual developmental disorder 63
DOID:0081225	autosomal recessive intellectual developmental disorder 64
DOID:0081226	autosomal recessive intellectual developmental disorder 65
DOID:0081227	autosomal recessive intellectual developmental disorder 66
DOID:0081228	autosomal recessive intellectual developmental disorder 67
DOID:0081229	autosomal recessive intellectual developmental disorder 68
DOID:0081230	autosomal recessive intellectual developmental disorder 69
DOID:0081231	autosomal recessive intellectual developmental disorder 70
DOID:0081232	autosomal recessive intellectual developmental disorder 71
DOID:0081233	autosomal recessive intellectual developmental disorder 73
DOID:0081234	autosomal recessive intellectual developmental disorder 75
DOID:0081235	autosomal recessive intellectual developmental disorder 76
DOID:0081236	autosomal recessive intellectual developmental disorder 77
DOID:0081237	acromesomelic dysplasia-3
DOID:0081238	acromesomelic dysplasia-4
DOID:0081239	injection anthrax
DOID:0081240	peroxisome biogenesis disorder 1B
DOID:0081241	peroxisome biogenesis disorder 3B
DOID:0081242	autoimmune interstitial lung, joint, and kidney disease
DOID:0081243	rhizomelic chondrodysplasia punctate type 4
DOID:0081244	pituitary blastoma
DOID:0081245	cauda equina neuroendocrine tumor
DOID:0081246	teratoma with somatic-type malignancy
DOID:0081247	dedifferentiated chondrosarcoma
DOID:0081248	pineocytoma
DOID:0081249	EWSR1-negative small round cell tumor
DOID:0081250	CIC-rearranged sarcoma
DOID:0081251	papillary tumor of the pineal region
DOID:0081252	supratentorial ependymoma, ZFTA fusion–positive
DOID:0081253	supratentorial ependymoma, YAP1 fusion–positive
DOID:0081254	posterior fossa group A ependymoma
DOID:0081255	posterior fossa group B ependymoma
DOID:0081256	astrocytoma, IDH-mutant, grade 2
DOID:0081257	astrocytoma, IDH-mutant, grade 3
DOID:0081259	desmoplastic infantile ganglioglioma / desmoplastic infantile astrocytoma
DOID:0081260	diffuse low-grade glioma, MAPK pathway–altered
DOID:0081261	angiocentric glioma
DOID:0081262	intellectual developmental disorder with hypotonia, impaired speech, and dysmorphic facies
DOID:0081263	neurodevelopmental disorder with microcephaly, cataracts, and renal abnormalities
DOID:0081264	developmental delay, hypotrophy, and dysmorphic features without Moebius syndrome
DOID:0081265	intellectual developmental disorder with abnormal behavior, microcephaly, and short stature
DOID:0081266	pachygyria, microcephaly, developmental delay, and dysmorphic facies, with or without seizures
DOID:0081267	graft-versus-host disease
DOID:0081268	pulmonary venoocclusive disease 1
DOID:0081269	pulmonary venoocclusive disease 2
DOID:0081270	Smith-McCort dysplasia 1
DOID:0081271	Smith-McCort dysplasia 2
DOID:0081272	Sandestig-Stefanova syndrome
DOID:0081273	Siddiqi syndrome
DOID:0081274	peroxisome biogenesis disorder 14B
DOID:0081275	neurodevelopmental disorder with eye movement abnormalities and ataxia
DOID:0081276	cerebellar atrophy, visual impairment, and psychomotor retardation
DOID:0081277	diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype
DOID:0081278	infant-type hemispheric glioma
DOID:0081279	diffuse astrocytoma, MYB- or MYBL1-altered
DOID:0081280	pituicytoma
DOID:0081281	oligodendroglioma, IDH-mutant and 1p/19q-codeleted grade 2
DOID:0081282	oligodendroglioma, IDH-mutant and 1p/19q-codeleted, grade 3
DOID:0081283	papillary glioneuronal tumor
DOID:0081284	rosette-forming glioneuronal tumor
DOID:0081285	myxoid glioneuronal tumor
DOID:0081286	embryonal tumor with multilayered rosettes
DOID:0081287	white sponge nevus 1
DOID:0081288	white sponge nevus 2
DOID:0081289	Antley-Bixler syndrome
DOID:0081290	Antley-Bixler syndrome without disordered steroidogenesis
DOID:0081291	chronic traumatic encephalopathy
DOID:0081292	traumatic brain injury
DOID:0081293	salivary gland mucoepidermoid carcinoma
DOID:0081294	neuronal intranuclear inclusion disease
DOID:0081295	essential tremor 6
DOID:0081296	oculopharyngodistal myopathy
DOID:0081297	oculopharyngodistal myopathy 1
DOID:0081298	oculopharyngodistal myopathy 2
DOID:0081299	oculopharyngodistal myopathy 3
DOID:0081300	oculopharyngodistal myopathy 4
DOID:0081301	intellectual developmental disorder with ocular anomalies and distinctive facial features
DOID:0081302	diffuse leptomeningeal glioneuronal tumor
DOID:0081303	multinodular and vacuolating neuronal tumor
DOID:0081304	high-grade astrocytoma with piloid features
DOID:0081305	polymorphous low grade neuroepithelial tumour of the young
DOID:0081306	spindle cell oncocytoma
DOID:0081307	lymphomatoid granulomatosis
DOID:0081308	grade I lymphomatoid granulomatosis
DOID:0081309	grade II lymphomatoid granulomatosis
DOID:0081310	grade III lymphomatoid granulomatosis
DOID:0081311	intravascular large B-cell lymphoma
DOID:0081312	T-cell non-Hodgkin lymphoma
DOID:0081313	primary diffuse large B-cell lymphoma of the central nervous system
DOID:0081314	extraventricular neurocytoma
DOID:0081315	central nervous system tumor with BCOR internal tandem duplication
DOID:0081316	primary intracranial sarcoma, DICER1-mutant
DOID:0081317	multiple synostoses syndrome 1
DOID:0081318	multiple synostoses syndrome 2
DOID:0081319	multiple synostoses syndrome 3
DOID:0081320	multiple synostoses syndrome 4
DOID:0081321	contractures, pterygia, and spondylocarpotarsal fusion syndrome 1A
DOID:0081322	contractures, pterygia, and spondylocarpotarsal fusion syndrome 1B
DOID:0081323	breast implant illness
DOID:0081324	neurodevelopmental disorder with poor growth, spastic tetraplegia, and hearing loss
DOID:0081325	developmental and epileptic encephalopathy 94
DOID:0081326	oxoglutarate dehydrogenase deficiency
DOID:0081327	neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures
DOID:0081328	familial hyperinsulinemic hypoglycemia 8
DOID:0081329	glycogen storage disease I
DOID:0081330	glycogen storage disease Ib
DOID:0081331	glycogen storage disease Ic
DOID:0081332	progeroid syndrome
DOID:0081333	Wiedemann-Rautenstrauch syndrome
DOID:0081334	Nestor-Guillermo progeria syndrome
DOID:0081335	Becker disease
DOID:0081336	Thomsen disease
DOID:0081337	congenital myopathy
DOID:0081338	myofibrillar myopathy 11
DOID:0081339	congenital myopathy 2B
DOID:0081340	congenital myopathy 2C
DOID:0081341	congenital myopathy 5
DOID:0081342	congenital myopathy 8
DOID:0081343	congenital myopathy 9A
DOID:0081344	congenital myopathy 9B
DOID:0081345	congenital myopathy 10B
DOID:0081346	congenital myopathy 14
DOID:0081347	congenital myopathy 15
DOID:0081348	congenital myopathy 16
DOID:0081349	congenital myopathy 17
DOID:0081350	congenital myopathy 18
DOID:0081351	congenital myopathy 19
DOID:0081352	congenital myopathy 20
DOID:0081353	congenital myopathy 21
DOID:0081354	congenital myopathy 22A
DOID:0081355	congenital myopathy 22B
DOID:0081356	spinal muscular atrophy, Jokela type
DOID:0081357	isolated mitochondrial myopathy
DOID:0081358	epidermolytic hyperkeratosis 1
DOID:0081359	epidermolytic hyperkeratosis 2
DOID:0081360	spastic quadriplegic cerebral palsy 2
DOID:0081361	spastic quadriplegic cerebral palsy 3
DOID:0081362	Pierpont syndrome
DOID:0081363	distal myopathy with rimmed vacuoles
DOID:0081364	neurodegeneration with ataxia, dystonia, and gaze palsy, childhood-onset
DOID:0081365	Paget's disease of bone 2
DOID:0081366	Paget's disease of bone 3
DOID:0081367	Paget's disease of bone 4
DOID:0081368	Paget's disease of bone 5
DOID:0081369	Paget's disease of bone 6
DOID:0081370	LADD syndrome
DOID:0081371	lacrimoauriculodentodigital syndrome 2
DOID:0081372	lacrimoauriculodentodigital syndrome 3
DOID:0081373	disabling pansclerotic morphea
DOID:0081374	nemaline myopathy 5B
DOID:0081375	nemaline myopathy 5C
DOID:0081376	sorbitol dehydrogenase deficiency with peripheral neuropathy
DOID:0081377	COX deficiency, benign infantile mitochondrial myopathy
DOID:0112311	male infertility due to acephalic spermatozoa
DOID:0112312	male infertility due to globozoospermia
DOID:0112313	brain small vessel disease
DOID:0112314	brain small vessel disease 2
DOID:0112315	brain small vessel disease 3
DOID:0112316	methemoglobinemia and ambiguous genitalia
DOID:0112317	Schindler disease
DOID:0112318	Schindler disease type 1
DOID:0112319	Kanzaki disease
DOID:0112320	Schindler disease type 3
DOID:0112321	alacrima, achalasia, and impaired intellectual development syndrome
DOID:0112322	pontocerebellar hypoplasia type 1
DOID:0112323	pontocerebellar hypoplasia type 1D
DOID:0112324	pontocerebellar hypoplasia type 11
DOID:0112325	pontocerebellar hypoplasia type 14
DOID:0112326	pontocerebellar hypoplasia type 15
DOID:0112327	pontocerebellar hypoplasia type 12
DOID:0112328	pontocerebellar hypoplasia type 2
DOID:0112329	pontocerebellar hypoplasia type 2F
DOID:0112330	pontocerebellar hypoplasia type 1E
DOID:0112331	pontocerebellar hypoplasia type 1F
DOID:0112332	pontocerebellar hypoplasia type 13
DOID:0112333	pontocerebellar hypoplasia type 16
DOID:0112334	pontocerebellar hypoplasia type 1C
DOID:0112335	spermatogenic failure 54
DOID:0112336	spermatogenic failure 56
DOID:0112337	spermatogenic failure 55
DOID:0112338	spermatogenic failure 57
DOID:0112339	Tatton-Brown-Rahman syndrome
DOID:0112340	craniotubular dysplasia Ikegawa type
DOID:0112341	hereditary spastic paraplegia 80
DOID:0112342	hereditary spastic paraplegia 86
DOID:0112343	hereditary spastic paraplegia 82
DOID:0112344	hereditary spastic paraplegia 79B
DOID:0112345	hereditary spastic paraplegia 85
DOID:0112346	hereditary spastic paraplegia 83
DOID:0112347	hereditary spastic paraplegia 84
DOID:0112348	hereditary spastic paraplegia 78
DOID:0112349	hereditary spastic paraplegia 81
DOID:0112350	spermatogenic failure 61
DOID:0112351	spermatogenic failure 62
DOID:0112352	spermatogenic failure 58
DOID:0112353	spermatogenic failure 64
DOID:0112354	spermatogenic failure 65
DOID:0112355	spermatogenic failure 60
DOID:0112356	spermatogenic failure 63
DOID:0112357	spermatogenic failure 59
DOID:0112358	short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies
DOID:0112359	congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, abnormal ears, or developmental delay
DOID:0112360	spondylocostal dysostosis 6
DOID:0112361	spondylocostal dysostosis 3
DOID:0112362	spondylocostal dysostosis 2
DOID:0112363	spondylocostal dysostosis 5
DOID:0112364	spondylocostal dysostosis 4
DOID:0112365	spondylocostal dysostosis 1
DOID:0112367	Coffin-Siris syndrome 8
DOID:0112368	Coffin-Siris syndrome 5
DOID:0112369	Coffin-Siris syndrome 7
DOID:0112370	Coffin-Siris syndrome 12
DOID:0112371	Coffin-Siris syndrome 10
DOID:0112372	Coffin-Siris syndrome 11
DOID:0112373	autosomal dominant auditory neuropathy 3
DOID:0112374	muscular dystrophy-dystroglycanopathy
DOID:0112375	muscular dystrophy-dystroglycanopathy type B
DOID:0112376	muscular dystrophy-dystroglycanopathy type B15
DOID:0112377	muscular dystrophy-dystroglycanopathy type B14
DOID:0112378	muscular dystrophy-dystroglycanopathy type B3
DOID:0112379	muscular dystrophy-dystroglycanopathy type B4
DOID:0112380	muscular dystrophy-dystroglycanopathy type B2
DOID:0112381	muscular dystrophy-dystroglycanopathy type C12
DOID:0112382	muscular dystrophy-dystroglycanopathy type C8
DOID:0112383	KINSSHIP syndrome
