?id	?label	?definition
"DOID:0110598"	"primary ciliary dyskinesia 14"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with inner dynein arm defect and axonemal disorganization, chronic upper and lower airway infections, and has_material_basis_in homozygous or compound heterozygous mutation in the CCDC39 gene on chromosome 3q26."
"DOID:0060560"	"lethal congenital contracture syndrome 2"@en	"A lethal congenital contracture syndrome that can be that has_material_basis_in homozygous mutation in the ERBB3 gene on chromosome 12q13."
"DOID:0080585"	"Van Maldergem syndrome 1"@en	"A Van Maldergem syndrome that has_material_basis_in homozygous mutation in the DCHS1 gene on chromosome 11p15."
"DOID:0060486"	"Perry syndrome"@en	"A syndrome characterized by parkinsonism, hypoventilation, depression, and weight loss and that has_material_basis_in heterozygous mutation in the DCTN1 gene on chromosome 2p13."
"DOID:0080513"	"Meier-Gorlin syndrome 2"@en	"A Meier-Gorlin syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the ORC4 gene on chromosome 2q23."
"DOID:5572"	"Beckwith-Wiedemann syndrome"	"A syndrome characterized by overgrowth (macrosomia), an increased risk of childhood cancer and congenital malformations."
"DOID:225"	"syndrome"	"A disease characterized by a group of signs and symptoms that occur together and characterize a particular abnormality."
"DOID:0060381"	"orofaciodigital syndrome XI"	"An orofaciodigital syndrome that is characterized by blepharophimosis, bulbous nasal tip, broad nasal bridge, downslanting palpebral fissures, low set ears, skeletal malformations, intellectual deficits, deafness and congenital heart defects."
"DOID:0080346"	"blepharocheilodontic syndrome 2"@en	"A blepharocheilodontic syndrome that has_material_basis_in heterozygous mutation in the CTNND1 gene on chromosome 11q12."
"DOID:0110613"	"primary ciliary dyskinesia 16"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with absence of ciliary outer dynein arms, early infantile onset of respiratory distress, and variable occurrence of situs inversus and has_material_basis_in homozygous mutation in the DNAL1 gene on chromosome 14q24.3."
"DOID:9562"	"primary ciliary dyskinesia"	"A ciliopathy that is characterized by impaired function of the cilia lining the respiratory tract (lower and upper, sinuses, Eustachian tube, middle ear) and fallopian tube."
"DOID:0111460"	"cardiofaciocutaneous syndrome 1"	"A cardiofaciocutaneous syndrome that has_material_basis_in heterozygous mutation in BRAF on chromosome 7q34."
"DOID:0060233"	"cardiofaciocutaneous syndrome"	"A syndrome characterized by unusually sparse, brittle, curly hair, macrocephaly, a prominent forehead and bi-temporal narrowing, intellectual disability, failure to thrive, congenital heart defects, short stature and skin abnormalities, and has_material_basis_in mutation in the BRAF, MAP2K1, MAP2kK2 and KRAS genes."
"DOID:0060585"	"Noonan syndrome 7"	"A Noonan syndrome that has_material_basis in heterozygous mutation in the BRAF gene."
"DOID:3490"	"Noonan syndrome"	"A syndrome that is characterized by mildly unusual facial features, short stature, heart defects, bleeding problems, skeletal malformations, and many other signs and symptoms."
"DOID:0050769"	"N syndrome"	"A syndrome that is characterized by intellectual disability, deafness, ocular abnormalities, T-cell leukemia, cryptorchidism, hypospadias and spasticity."
"DOID:0110827"	"Usher syndrome type 2"	"An Usher syndrome characterized by mild to severe congenital hearing impairment, normal vestibular function and later development of retinitis pigmentosa."
"DOID:0050439"	"Usher syndrome"	"A syndrome characterized by a combination of hearing loss and visual impairment."
"DOID:0111463"	"cardiofaciocutaneous syndrome 4"	"A cardiofaciocutaneous syndrome that has_material_basis_in heterozygous mutation in MAPK2K2 on chromosome 19p13.3."
"DOID:14221"	"abdominal obesity-metabolic syndrome 1"	"An abdominal obesity-metabolic syndrome characterized by insulin resistance and hyperinsulinemia, dyslipidemia, essential hypertension, abdominal obesity, glucose intolerance or noninsulin-dependent diabetes mellitus and an increased risk of cardiovascular events."
"DOID:0080040"	"fibrogenesis imperfecta ossium"	"A syndrome that involves abnormality of collagen synthesis in lamellar bones, with manifestations limited to the skeleton. The initial symptom is frequently spontaneous fractures."
"DOID:8461"	"Aicardi syndrome"	"A syndrome that is characterized by absence or underdeveloped tissue connecting the left and right halves of the brain, infantile spasms and chorioretinal lacunae, which are defects in the light-sensitive tissue at the back of the eye."
"DOID:0110997"	"Joubert syndrome 28"	"A Joubert syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the MKS1 gene on chromosome 17q23."
"DOID:11549"	"Adie syndrome"	"A syndrome that is a neurological disorder affecting the pupil of the eye and the autonomic nervous system. It is characterized by one eye with a pupil that is larger than normal and constricts slowly in bright light (tonic pupil), along with the absence of deep tendon reflexes, usually in the Achilles tendon."
"DOID:0080517"	"Meier-Gorlin syndrome 6"@en	"A Meier-Gorlin syndrome that has_material_basis_in heterozygous mutation in the GMNN gene on chromosome 6p22."
"DOID:0060306"	"Meier-Gorlin syndrome"	"A syndrome that is characterized by bilateral underdevelopment of the external ear, short stature, absent or underdeveloped patellae and severe prenatal and postnatal growth retardation."
"DOID:0111004"	"Joubert syndrome 9"	"A Joubert syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the CC2D2A gene on chromosome 4p15."
"DOID:0060316"	"orofaciodigital syndrome I"	"An orofaciodigital syndrome that is characterized by malformations of the face, oral cavity, and digits, has_material_basis_in X-linked dominant inheritance of the OFD1 gene with lethality in males and is associated with polycystic kidney disease."
"DOID:4501"	"orofaciodigital syndrome"	"A syndrome that is characterized by malformations of the face, oral cavity, and digits."
"DOID:0060347"	"acrorenal syndrome"	"A syndrome characterized by limb defects, usually bilateral, like cleft hands or feet and longitudinal defects involving radius or ulna, tibia or fibula and renal anomalies which include agenesis, hypoplasia and rarely polycystic kidneys. Additional malformations may involve the oro-mandibular region, the trachea and lungs, skin derivatives including sweat glands, mammary glands, the uterus, vas deferens, the nasal placodes and the eyes."
"DOID:0111354"	"arthrogryposis, renal dysfunction, and cholestasis 2"	"An arthrogryposis, renal dysfunction, and cholestasis that has_material_basis_in homozygous or compound heterozygous mutation in VIPAS39 on 14q24.3."
"DOID:0050763"	"ARC syndrome"	"A syndrome that is characterized by congenital joint contractures, renal tubular dysfunction, cholestasis, severe failure to thrive, ichthyosis and a defect in platelet alpha-granule biogenesis and that has_material_basis_in homozygous or compound heterozygous mutation in the VPS33B gene or homozygous or compound heterozygous mutation in the VIPAR gene on chromosome 14q24.3."
"DOID:0110617"	"primary ciliary dyskinesia 5"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with early onset of a progressive decline in lung function and has_material_basis_in homozygous mutation in the HYDIN gene on chromosome 16q22."
"DOID:0111530"	"linear nevus sebaceous syndrome"	"A syndrome characterized by sebaceous nevi typically on the face and associated with variable ipsilateral abnormalities of the central nervous system, ocular anomalies, and skeletal defects that has_material_basis_in somatic mosaic mutations in NRAS, HRAS, or KRAS on chromosomes 1p13.2, 11p15.5, or 12p12.1, respectively."
"DOID:0050777"	"Joubert syndrome"	"A ciliopathy that is characterized by congenital malformation of the brainstem and agenesis or hypoplasia of the cerebellar vermis leading to an abnormal respiratory pattern, nystagmus, hypotonia, ataxia, and delay in achieving motor milestones."
"DOID:0060290"	"blepharophimosis-intellectual disability syndrome, SBBYS type"	"A Ohdo syndrome that is characterized by blepharophimosis, ptosis and intellectual disability."
"DOID:0060479"	"Shwachman-Diamond syndrome"@en	"A syndrome characterized by exocrine pancreatic insufficiency, bone marrow failure and skeletal abnormalities."
"DOID:0110836"	"Usher syndrome type 1J"	"An Usher syndrome type 1 that has_material_basis_in caused by homozygous mutation in the CIB2 gene on chromosome 15q24."
"DOID:0060293"	"autosomal dominant chondrodysplasia punctata"	"A chondrodysplasia punctata that is characterized by abnormal facies and stippling of the limbs, associated with vitamin K-related teratogenicity, has_material_basis_in autosomal dominant inheritance."
"DOID:2121"	"ectodermal dysplasia"	"A syndrome characterized by abnormal development in 2 or more ectodermal structures (hair, nails, teeth, and sweat glands) without other systemic findings."
"DOID:0050468"	"yellow nail syndrome"	"A syndrome that is characterized by an accumulation of protein-rich fluid (lymph) in the soft layers of tissue under the skin resulting in pleural effusions, lymphedema (due to lymphatic hypoplasia) and yellow dystrophic nails hat lack a cuticle, grow slowly, and are loose or detached."
"DOID:0110614"	"primary ciliary dyskinesia 4"	"A primary ciliary dyskinesia that is characterized by partial absence of the inner dynein arms with variable occurrence of situs inversus and has_material_basis_in variation in the chromosome region 15q13.1-q15.1."
"DOID:0080507"	"Cornelia de Lange syndrome 3"@en	"A Cornelia de Lange syndrome that has_material_basis_in heterozygous mutation in the SMC3 gene on chromosome 10q25.2."
"DOID:0111461"	"cardiofaciocutaneous syndrome 2"	"A cardiofaciocutaneous syndrome that has_material_basis_in heterozygous mutation in KRAS on chromosome 12p12.1."
"DOID:0080331"	"cold-induced sweating syndrome 3"@en	"A cold-induced sweating syndrome that has_material_basis_in homozygous mutation in the KLHL7 gene on chromosome 7p15."
"DOID:0110826"	"Usher syndrome type 1"	"An Usher syndrome characterized by profound congenital deafness, vestibular dysfunction and early development of retinitis pigmentosa."
"DOID:0110990"	"Joubert syndrome 21"	"A Joubert syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the CSPP1 gene on chromosome 8q13."
"DOID:0110601"	"primary ciliary dyskinesia 12"	"A primary ciliary dyskinesia that is characterized by reduced exercise tolerance, chronic wet cough, recurrent respiratory infections, bronchiectasis, and nasal symptoms, and has_material_basis_in homozygous mutation in the RSPH9 gene on chromosome 6p21."
"DOID:0060586"	"Noonan syndrome 8"	"A Noonan syndrome that has_material_basis_in aused by heterozygous mutation in the RIT1 gene on chromosome 1q22."
"DOID:0050778"	"Meckel syndrome"	"A ciliopathy that is characterized by renal cystic dysplasia, occipital encephalocele, polydactyly (post axial), hepatic developmental defects, and pulmonary hypoplasia."
"DOID:0060549"	"Barber-Say syndrome"@en	"A syndrome characterized by d by the association of excessive hair growth (hypertrichosis), papery thin and fragile (atrophic) skin, outward turned eyelids (ectropion) and a large mouth (macrostomia). It is that has_material_basis_in heterozygous mutation in the TWIST2 gene on chromosome 2q37."
"DOID:0110828"	"Usher syndrome type 3"	"An Usher syndrome characterized by progressive hearing loss typically beginning in late childhood, variable vestibular dysfunction and onset of retinitis pigmentosa by the second decade of life."
"DOID:0050858"	"Marshall-Smith syndrome"	"A syndrome that is characterized by advanced bone age, failure to thrive, respiratory problems, dysmorphic facial features, and variable mental retardation."
"DOID:14793"	"hypohidrotic ectodermal dysplasia"	"An ectodermal dysplasia that is characterized by malformation of ectodermal (skin, hair, teeth and sweat glands) structures including hypotrichosis (sparseness of scalp and body hair), hypohidrosis (reduced ability to sweat), and hypodontia (congenital absence of teeth)."
"DOID:6677"	"diffuse infiltrative lymphocytosis syndrome"	"A syndrome that occurs in human immunodeficiency virus (HIV) positive patients, which is accompanied by decreased kidney function. The spectrum of kidney involvement includes acute or chronic kidney disease, primarily tubular proteinuria and dense lymphocytic tubulointerstitial infiltrates predominantly composed of CD8 T cells."
"DOID:0080518"	"Meier-Gorlin syndrome 7"@en	"A Meier-Gorlin syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the CDC45 gene on chromosome 22q11."
"DOID:0060229"	"Baraitser-Winter syndrome"	"A syndrome characterized by distinctive facial features including hypertelorism, large eyelid openings, ptosis, high-arched eyebrows, a broad nasal bridge and tip of the nose, a long space between the nose and the upper lip, full cheeks and a pointed chin; structural abnormalities of the brain might also be present."
"DOID:0080328"	"Culler-Jones syndrome"@en	"A syndrome that is characterized by hypopituitarism, mainly growth hormone deficiency, and/or postaxial polydactyly and has_material_basis_in autosomal dominant heterozygous mutation in the GLI2 gene on chromosome 2q14."
"DOID:0060375"	"orofaciodigital syndrome V"	"An orofaciodigital syndrome that is characterized by postaxial polydactyly and median cleft of the upper lip and has_material_basis_in homozygous mutation in the DDX59 gene on chromosome 1q32."
"DOID:0110605"	"primary ciliary dyskinesia 7"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with chronic respiratory infections, chronic sinusitis, recurrent bronchitis, and pneumonia beginning in infancy or early childhood and has_material_basis_in mutation in the DNAH11 gene on chromosome 7p21."
"DOID:0060292"	"X-linked chondrodysplasia punctata 1"	"A chondrodysplasia punctata that is characterized by maxillary hypoplasia, stippled chondrodystrophy, flat nasal tip and short columella, has_material_basis_in X-linked recessive inheritance, has_material_basis_in deficiency of arylsulfatase E. and is associated with associated with vitamin K-related teratogenicity."
"DOID:0060373"	"orofaciodigital syndrome III"	"An orofaciodigital syndrome that is characterized by dysmorphic facies and severe intellectual deficits, and has_material_basis_in autosomal recessive inheritance."
"DOID:0111462"	"cardiofaciocutaneous syndrome 3"	"A cardiofaciocutaneous syndrome that has_material_basis_in heterozygous mutation in MAP2K1 on chromosome 15q22.31."
"DOID:0060471"	"fetal valproate syndrome"	"A syndrome characterized by distinctive facial appearance, a cluster of minor and major anomalies and central nervous system dysfunction."
"DOID:0110615"	"primary ciliary dyskinesia 25"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with inner and outer dynein arm defect, recurrent upper and lower airway disease, bronchiectasis, decreased fertility and variable occurence of laterality defects and has_material_basis_in homozygous or compound heterozygous mutation in the DYX1C1 gene on chromosome 15q21."
"DOID:0060473"	"Kabuki syndrome"	"A syndrome characterized by  multiple congenital anomalies and mental retardation. Other characteristics include a peculiar facial gestalt, short stature, skeletal and visceral abnormalities, cardiac anomalies, and immunological defects."
"DOID:0111550"	"scalp-ear-nipple syndrome"	"An ectodermal dysplasia characterized by cutis aplasia of the scalp, breast anomalies that range from hypothelia or athelia to amastia, and minor anomalies of the external ears that has_material_basis_in heterozygous mutation in KCTD1 on chromosome 18q11.2."
"DOID:0110612"	"primary ciliary dyskinesia 10"	"A primary ciliary dyskinesia that is characterized by outer and inner dynein arm absence, chronic otitis media, sinusitis, recurrent pneumonia and variable occurrence of situs inversus and has_material_basis_in homozygous mutation in the KTU gene on chromosome 14q21."
"DOID:0060583"	"Noonan syndrome 5"	"A Noonan syndrome that has_material_basis_in mutation in the RAF1 gene."
"DOID:0080110"	"multiple pterygium syndrome"	"A syndrome that is characterized by permanently bent fingers, short stature, rocker-bottom or club feet, joints that are bent in a fixed position, union or webbing of the skin between the fingers, and/or webbing of the neck, inside bend of the elbows, back of the knees and armpits."
"DOID:0110991"	"Joubert syndrome 22"	"A Joubert syndrome that has_material_basis_in homozygous mutation in the PDE6D gene on chromosome 2q37."
"DOID:0111003"	"Joubert syndrome 8"	"A Joubert syndrome that has_material_basis_in mutation in the ARL13B gene on chromosome 3q11.1-q11.2."
"DOID:0080586"	"Van Maldergem syndrome 2"@en	"A Van Malergem syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the FAT4 gene on chromosome 4q28."
"DOID:0060587"	"Noonan syndrome 9"	"A Noonan syndrome that has_material_basis_in heterozygous mutation in the SOS2 gene on chromosome 14q21."
"DOID:0110829"	"retinitis pigmentosa-deafness syndrome"	"An Usher syndrome characterized by retinitis pigmentosa and onset of sensorineural hearing impairment in the teens that has_material_basis_in mutation in the MTTS2 gene in the mitochondrial genome."
"DOID:6678"	"tooth and nail syndrome"	"A syndrome that affects the teeth, nails, hair, and/or skin. It is characterized by absence (hypodontia) and/or malformation of certain primary (deciduous) and secondary (permanent) teeth occurring in association with improper development of the nails, particularly the toenails."
"DOID:0060352"	"Kleefstra syndrome"	"A syndrome that is characterized by childhood hypotonia, a distinctive facial appearance, speech impediments, developmental disability, epilepsy, congenital and urogenetic defects, microcephaly, corpulence, and psychiatric disorders and that has_material_basis_in a microdeletion in the chromosome region 9q34.3 or by a point mutation in the EHMT1 gene located in that region."
"DOID:9008"	"psoriatic arthritis"	"A syndrome that occurs in humans with psoriasis who also experience symptoms similar to arthritis."
"DOID:0060889"	"prune belly syndrome"@en	"A syndrome that is characterized by megacystis with disorganized detrusor muscle, cryptorchidism, and thin abdominal musculature with overlying lax skin and that has_material_basis_in homozygous mutation in the CHRM3 gene on chromosome 1q43."
"DOID:0080351"	"CLOVES syndrome"@en	"A syndrome that is characterized by congenital lipomatous overgrowth, progressive, complex and mixed truncal vascular malformation, and epidermal nevi that has_material_basis_in somatic mosaicism for postzygotic activiating mutations in the PIK3CA gene on chromosome 3q26."
"DOID:0080519"	"PAPA syndrome"@en	"A syndrome that is characterised by pyoderma gangrenosum, pyogenic arthritis, acne and suppurative hidradenitis and heterozygous mutation in the PSTPIP1 gene on chromosome 15q24."
"DOID:0060766"	"autosomal dominant Robinow syndrome 1"	"A Robinow syndrome characterized by autosomal dominant inheritance of dysmorphic features resembling a fetal face, mesomelic limb shortening, hypoplastic external genitalia in males, and renal and vertebral anomalies that has_material_basis_in heterozygous mutation in the WNT5A gene on chromosome 3p."
"DOID:0060382"	"orofaciodigital syndrome IX"	"An orofaciodigital syndrome that is characterized by highly arched palate with bifid tongue,  harmartomatous tongue, hypertelorism, telecanthus, strabismus,bifid nasal tip, short stature, bifid halluces, forked metatarsal, polydactyly, mild intellectual deficit and specific retinal abnormalities, and has_material_basis_in autosomal recessive inheritance."
"DOID:0060571"	"Ritscher-Schinzel syndrome 1"	"A Ritscher-Schinzel syndrome that has_material_basis_in homozygous mutation in the KIAA0196 gene on chromosome 8q24."
"DOID:3389"	"Papillon-Lefevre disease"	"An ectodermal dysplasia that is characterized by palmoplantar keratoderma associated with early-onset periodontitis and has_material_basis_in homozygous or compound heterozygous mutation in the cathepsin C gene on chromosome 11q14."
"DOID:0111000"	"Joubert syndrome 5"	"A Joubert syndrome that has_material_basis_in mutation in the CEP290 gene on chromosome 12q21."
"DOID:0080508"	"Cornelia de Lange syndrome 4"@en	"A Cornelia de Lange syndrome that has_material_basis_in heterozygous mutation in the RAD21 gene, which encodes a component of the cohesin complex, on chromosome 8q24."
"DOID:14525"	"Reye syndrome"	"A syndrome characterized by acute brain damage and liver function problems. It has been associated with aspirin consumption by children with viral illness, although it also occurs in the absence of aspirin use."
"DOID:0060582"	"Noonan syndrome 4"	"A Noonan syndrome that has_material_basis_in heterozygous mutation in the SOS1 gene on chromosome 2p22."
"DOID:0110993"	"Joubert syndrome 24"	"A Joubert syndrome characterized by delayed psychomotor development and molar tooth sign on brain MRI that has_material_basis_in homozygous mutation in the TCTN2 gene on chromosome 12q24."
"DOID:0080538"	"Sweeney-Cox syndrome"@en	"A syndrome that is characterized by striking facial dysostosis, including hypertelorism, deficiencies of the eyelids and facial bones, cleft palate/velopharyngeal insufficiency, and low-set cupped ears and has_material_basis_in heterozygous mutation in the TWIST1 gene on chromosome 7p21."
"DOID:0111384"	"inclusion body myopathy with early-onset Paget disease of bone with or without frontotemporal dementia 2"	"An inclusion body myopathy with Paget disease of bone and frontotemporal dementia that has_material_basis_in heterozygous mutation in HNRPA2B1 on 7p15.2."
"DOID:8544"	"chronic fatigue syndrome"	"A syndrome that involves prolonged and severe tiredness or weariness that is unrelated to exertion, is not relieved by rest and for a minimum of six months and is not directly caused by other conditions."
"DOID:0080191"	"PTEN hamartoma tumor syndrome"@en	"A syndrome characterized as a spectrum of disorders (Cowden syndrome, Bannayan-Riley-Ruvalcaba syndrome, PTEN-related Proteus syndrome, and Proteus-like syndrome) caused by germline mutations of the PTEN gene."
"DOID:0060374"	"orofaciodigital syndrome IV"	"An orofaciodigital syndrome that is characterized by dysmorphic facies, the development of harmartomas of the tongue, polydactyly and limb dysplasia, has_material_basis_in autosomal recessive inheritance of mutations in the TCTN3 gene."
"DOID:0060550"	"ablepharon macrostomia syndrome"@en	"A syndrome characterized by  ablepharon, macrostomia, abnormal external ears, syndactyly of the hands and feet, dry and coarse skin or redundant folds of skin, absent or sparse hair, genital malformations and developmental delay and that has_material_basis_in heterozygous mutation in the TWIST2 gene on chromosome 2q37."
"DOID:1166"	"palindromic rheumatism"	"A syndrome that involves sudden and rapidly developing attacks of arthritis with a remission period that results_in no joint damage or symptoms."
"DOID:0110616"	"primary ciliary dyskinesia 8"	"A primary ciliary dyskinesia that has_material_basis_in variation in the chromosome region 15q24-q25."
"DOID:0060376"	"Joubert syndrome with orofaciodigital defect"	"A Joubert syndrome that is characterized by orofaciodigital defect."
