?id	?label	?definition
"DOID:0060294"	"cold-induced sweating syndrome"	"A syndrome that is characterized by profuse sweating induced by cold ambient temperature."
"DOID:0080515"	"Meier-Gorlin syndrome 4"@en	"A Meier-Gorlin syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the CDT1 gene on chromosome 16q24."
"DOID:0080505"	"Cornelia de Lange syndrome 1"@en	"A Cornelia de Lange syndrome that has_material_basis_in heterozygous mutation in the NIPBL gene, which encodes a component of the cohesin complex, on chromosome 5p13."
"DOID:0110620"	"primary ciliary dyskinesia 35"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with absent outer dynein arms, immotile cilia, variable occurence of laterality defects and recurrent upper and lower respiratory infections and has_material_basis_in homozygous mutation in the TTC25 gene on chromosome 17q21."
"DOID:0110987"	"Joubert syndrome 18"	"A Joubert syndrome that has_material_basis_in homozygous mutation in the TCTN3 gene on chromosome 10q24."
"DOID:0080106"	"microcephaly and chorioretinopathy 2"	"A syndrome that is characterized by delayed psychomotor development, visual impairment, and short stature and has_material_basis_in homozygous mutation in the PLK4 gene."
"DOID:6691"	"Aagenaes syndrome"	"A syndrome that is characterized by congenital hypoplasia of lymph vessels, which causes lymphedema of the legs and recurrent cholestasis in infancy, and slow progress to hepatic cirrhosis and giant cell hepatitis with fibrosis of the portal tracts."
"DOID:11042"	"Felty's syndrome"	"A syndrome that results_in rheumatoid arthritis, splenomegaly and neutropenia."
"DOID:0110602"	"primary ciliary dyskinesia 11"	"A primary ciliary dyskinesia that is characterized by reduced exercise tolerance, chronic wet cough, recurrent respiratory infections, bronchiectasis, nasal symptoms, ear obstruction with consequent hearing problems, low weight, and short stature, and has_material_basis_in homozygous or compound heterozygous mutation in the RSPH4A gene on chromosome 6q22."
"DOID:0080514"	"Meier-Gorlin syndrome 3"@en	"A Meier-Gorlin syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the ORC6 gene on chromosome 16q11."
"DOID:0110853"	"rhizomelic chondrodysplasia punctata type 3"	"A rhizomelic chondrodysplasia punctata that has_material_basis_in autosomal recessive inheritance of homozygous or compound heterozygous mutation in the AGPS gene on chromosome 2q31.2."
"DOID:0080506"	"Cornelia de Lange syndrome 2"@en	"A Cornelia de Lange syndrome that has_material_basis_in a mutation in the SMC1A gene, which encodes a subunit of the cohesin complex, on chromosome Xp11."
"DOID:0060291"	"oculodentodigital dysplasia"	"A syndrome characterized by craniofacial, neurologic, limb and ocular abnormalities."
"DOID:0060225"	"3MC syndrome"	"A syndrome characterized by blepharophimosis, blepharoptosis, highly arched eyebrows hypertelorism, cleft lip and palate, postnatal growth deficiency, cognitive impairment, hearing loss and, in a smaller percentage of cases, craniosynostosis, radioulnar synostosis and genital and vesicorenal anomalies. It encompasses four disorders that were previously designated the Malpuech, Michels, Mingarelli and Carnevale syndromes."
"DOID:0110621"	"primary ciliary dyskinesia 17"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with inner and outer dynein arm defect, early infantile onset of respiratory distress, and variable occurence of laterality defects and has_material_basis_in homozygous mutation in the CCDC103 gene on chromosome 17q21."
"DOID:0060238"	"Van Maldergem syndrome"	"A syndrome characterized by facial abnormalities such as telecanthus, epicanthus, broad flattened nose, large inverted W-shaped mouth and malformed ears, malformed extremities such as camptodactyly, clinodactyly, interdigital webbing and joint hyperlaxity and mental retardation."
"DOID:0080180"	"Zika virus congenital syndrome"@en	"A syndrome that is characterized in neonates by microcephaly, craniofacial disproportion, spasticity, seizures, irritability and brainstem dysfunction including feeding difficulties, ocular abnormalities and findings on neuroimaging such as calcifications, cortical disorders and ventriculomegaly and has_material_basis_in the acquisition of Zika virus infection in utero."
"DOID:0050526"	"Gamstorp-Wohlfart syndrome"	"A syndrome characterized by progressive weakness and atrophy of muscles in feet, legs and hands. In some patients the syndrome also causes decreased sensitivity to touch, heat or cold, particularly in the lower arms or legs."
"DOID:0080330"	"cold-induced sweating syndrome 2"@en	"A cold-induced sweating syndrome that has_material_basis_in compound heterozygous mutation in the CLCF1 gene on chromosome 11q13."
"DOID:0060644"	"chondrodysplasia-pseudohermaphroditism syndrome"	"A syndrome characterized by the clinical features of 46,XY complete gonadal dysgenesis in association with severe dwarfism with generalized chondrodysplasia."
"DOID:0090002"	"Tietz syndrome"	"A syndrome that is characterized by congenital profound bilateral sensorineural hearing loss and generalized albino-like hypopigmentation of skin, eyes and hair that has_material_basis_in mutation in the MITF gene on chromosome 3p13."
"DOID:0110998"	"Joubert syndrome 3"	"A Joubert syndrome that has_material_basis_in homozygous mutation in the AHI1 gene on chromosome 6q23.3."
"DOID:0060858"	"hypotonia-cystinuria syndrome"@en	"A syndrome that has_material_basis_in homozygous deletion on chromosome 2p21 that disrupts the SLC3A1 and PREPL genes. The deletion ranges in size from 23.8 to 75.5 kb. Itis characterized_by neonatal and infantile hypotonia and failure to thrive, cystinuria type 1 and nephrolithiasis, growth retardation due to growth hormone deficiency, and minor facial dysmorphism."
"DOID:0060559"	"lethal congenital contracture syndrome 1"@en	"A lethal congenital contracture syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the mRNA export mediator GLE1 on chromosome 9q34."
"DOID:0110626"	"primary ciliary dyskinesia 2"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with inner and outer dynein arm defect, otitis media, sinusitis, chronic cough, recurrent respiratory infections, and variable occurence of laterality defects and has_material_basis_in homozygous mutation in the DNAAF3 gene on chromosome 19q13."
"DOID:0110603"	"primary ciliary dyskinesia 32"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with near absence of radial spokes, respiratory distress in term neonates, impaired mucociliary clearance, chronic respiratory infections, bronchiectasis, and infertility and has_material_basis_in homozygous or compound heterozygous mutation in the RSPH3 gene on chromosome 6q25."
"DOID:0060575"	"3MC syndrome 1"	"A 3MC syndrome that has_material_basis_in autosomal recessive inheritance of homozygous mutation in the mannan binding lectin serine peptidase 1 gene (MASP1) on chromosome 3q27."
"DOID:0110854"	"rhizomelic chondrodysplasia punctata type 5"	"A rhizomelic chondrodysplasia punctata that has_material_basis_in autosomal recessive inheritance of homozygous or compound heterozygous mutation in the PEX5 gene on chromosome 12p13.31."
"DOID:0110985"	"Joubert syndrome 16"	"A Joubert syndrome characterized by molar tooth sign on brain imaging, oculomotor apraxia, variable coloboma, and rare kidney involvement that has_material_basis_in homozygous mutation in the TMEM138 gene on chromosome 11q."
"DOID:0060380"	"orofaciodigital syndrome X"	"An orofaciodigital syndrome that is characterized by facial, oral and digital deformities as well as radial shortening, fibular agenesis and coalescence of tarsal bones."
"DOID:0110622"	"primary ciliary dyskinesia 9"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer dynein arm defect, neonatal respiratory distress, sinusitis, otitis, bronchiectasis, and variable occurence of laterality defects and has_material_basis_in homozygous mutation in the DNAI2 gene on chromosome 17q25."
"DOID:0050740"	"Qazi Markouizos syndrome"	"A syndrome that is characterized by hypotonia, congenital fiber type disproportion and dysharmonic skeletal maturation."
"DOID:0060349"	"microcephaly with or without chorioretinopathy, lymphedema, or mental retardation"	"A syndrome characterized byvariable expression of microcephaly, ocular disorders including chorioretinopathy, congenital lymphedema of the lower limbs, and mild to moderate intellectual disability."
"DOID:0060469"	"Miller-Dieker lissencephaly syndrome"	"A syndrome characterized by classical lissencephaly and distinct facial features and has_material_basis_in submicroscopic deletions of 17p13.3, including the LIS1 gene."
"DOID:0110837"	"Usher syndrome type 1K"	"An Usher syndrome type 1 that has_material_basis_in variation in the chromosome region 10p11.21-q21.1."
"DOID:0110599"	"primary ciliary dyskinesia 3"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer dynein arm defect, ciliary akinesia and variable occurence of situs inversus and has_material_basis_in homozygous or compound heterozygous mutation in the DNAH5 gene on chromosome 5p15."
"DOID:0110623"	"primary ciliary dyskinesia 15"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with inner dynein arm defect, axonemal disorganization, recurrent respiratory infections and has_material_basis_in homozygous or compound heterozygous mutation in the CCDC40 gene on chromosome 17q25."
"DOID:0110604"	"primary ciliary dyskinesia 18"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer and inner dynein arm defect, early infantile onset of recurrent sinopulmonary infections, male infertility, and variable occurence of situs inversus and has_material_basis_in homozygous mutation in the HEATR2 gene on chromosome 7p22."
"DOID:0110980"	"Joubert syndrome 1"	"A Joubert syndrome that has_material_basis_in homozygous mutation in the INPP5E gene on chromosome 9q34."
"DOID:0060576"	"3MC syndrome 2"	"A 3MC syndrome that has_material_basis_in autosomal recessive inheritance of homozygous mutation in the collectin subfamily member 11 gene (COLEC11) on chromosome 2p25."
"DOID:0060577"	"3MC syndrome 3"	"A 3MC syndrome that has_material_basis_in a compound heterozygous mutation in the COLEC10 gene on chromosome 8q24."
"DOID:0050885"	"IMAGe syndrome"	"A syndrome that is characterized by intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, genital abnormalities and has_material_basis_in heterozygous mutation in the CDKN1C gene."
"DOID:13087"	"Lown-Ganong-Levine syndrome"	"A syndrome that involves pre-excitation of the ventricles due to an accessory pathway providing an abnormal electrical communication from the atria to the ventricles."
"DOID:0080352"	"X-linked chondrodysplasia punctata 2"@en	"A chondrodysplasia puncata that has_material_basis_in mutation in the gene encoding delta(8)-delta(7) sterol isomerase emopamil-binding protein on chromosome Xp11."
"DOID:0080583"	"Wolfram syndrome, mitochondrial form"@en	"A Wolfram syndrome that has_material_basis_in mutation in mtDNA."
"DOID:2907"	"Goldenhar syndrome"	"A syndrome that is characterized by incomplete development of the ear, nose, soft palate, lip, and mandible. It is associated with anomalous development of the first branchial arch and second branchial arch."
"DOID:0080509"	"Cornelia de Lange syndrome 5"@en	"A Cornelia de Lange syndrome that has_material_basis_in by mutation in the HDAC8 gene on chromosome Xq13."
"DOID:0110989"	"Joubert syndrome 20"	"A Joubert syndrome that has_material_basis_in compound heterozygous mutation in the TMEM231 gene on chromosome 16q23."
"DOID:0060227"	"Adams-Oliver syndrome"	"A syndrome characterized by defects of the scalp (aplasia cutis congenita), abnormalities of the fingers, toes, arms and legs."
"DOID:0060558"	"lethal congenital contracture syndrome"@en	"A syndrome characterized by congenital nonprogressive joint contractures. The contractures can involve the upper or lower limbs and/or the vertebral column, leading to various degrees of flexion or extension limitations evident at birth."
"DOID:0111245"	"palmoplantar keratoderma and congenital alopecia 2"	"An ectodermal dysplasia characterized by autosomal recessive inheritance of alopecia, progressive palmoplantar hyperkeratosis resulting in sclerodactyly and usually associated with cataracts and pseudoainhum formation."
"DOID:9778"	"irritable bowel syndrome"	"A syndrome that is a functional bowel disorder characterized by chronic abdominal pain, discomfort, bloating, and alteration of bowel habits in the absence of any detectable organic cause."
"DOID:0060654"	"lethal congenital contracture syndrome 4"	"A lethal congenital contracture syndrome that has_material_basis_in homozygous mutation in the MYBPC1 gene on chromosome 12q23."
"DOID:0070120"	"Meckel syndrome 6"	"A Meckel syndrome that has_material_basis_in an autosomal recessive mutation of CC2D2A on chromosome 4p15.32."
"DOID:0110624"	"primary ciliary dyskinesia 30"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer dynein arm defect, recurrent upper and lower airway disease, bronchiectasis, nasal blockages, polyps, otitis media, and variable occurence of laterality defects and has_material_basis_in homozygous mutation in the CCDC151 gene on chromosome 19p13."
"DOID:0090066"	"Fanconi-like syndrome"	"A syndrome characterized by pancytopenia, immune deficiency and cutaneous malignancies."
"DOID:0070122"	"Meckel syndrome 8"	"A Meckel syndrome that has_material_basis_in an autosomal recessive mutation of TCTN2 on chromosome 12q24.31."
"DOID:0110606"	"primary ciliary dyskinesia 6"	"A primary ciliary dyskinesia that is characterized by partial outer dynein arm defect and has_material_basis_in mutation in the TXNDC3 gene on the chromosome 7p14.1."
"DOID:0060578"	"Noonan syndrome 1"	"A Noonan syndrome that has_material_basis_in the PTPN11 gene on chromosome 12q24."
"DOID:0110608"	"primary ciliary dyskinesia 19"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer and inner dynein arm defect, chronic sinopulmonary infections, asthenospermia, and immotile cilia and has_material_basis_in homozygous mutation in the LRRC6 on chromosome 8q24."
"DOID:0110595"	"Stromme syndrome"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance and ciliopathy with some type of intestinal atresia, variable ocular abnormalities, microcephaly, and has_material_basis_in compound heterozygous mutation in the CENPF gene on chromosome 1q41."
"DOID:0070117"	"Meckel syndrome 3"	"A Meckel syndrome that has_material_basis_in an autosomal recessive mutation of TMEM67 on chromosome 8q22.1."
"DOID:4491"	"persian gulf syndrome"	"A syndrome affecting returning military veterans and civilian workers of the Gulf War."
"DOID:0110839"	"Usher syndrome type 2C"	"An Usher syndrome type 2 that has_material_basis_in homozygous or compound heterozygous mutation in the ADGRV1 gene on chromosome 5q14."
"DOID:14679"	"VACTERL association"	"A syndrome that is characterized by the presence of at least three of the following: vertebral defects, anal atresia, cardiac defects, tracheo-esophageal fistula, renal anomalies, and limb abnormalities."
"DOID:0060365"	"mandibulofacial dysostosis with alopecia"	"A syndrome characterized by malar and mandibular hypoplasia, typically associated with abnormalities of the ears and eyelids, and with alopecia."
"DOID:0050549"	"Saldino-Noonan syndrome"	"A syndrome characterized by congenital heart defects, failure to thrive, short stature, cognitive dysfunction, pectus excavatum, coagulation defects and craniofacial defects and that has_material_basis_in the mutation in the Ras/mitogen activated protein kinase."
"DOID:0110983"	"Joubert syndrome 14"	"A Joubert syndrome characterized by severe mental retardation, hypoplasia of the cerebellar vermis and molar tooth sign on brain imaging, hypotonia, abnormal breathing pattern in infancy, and dysmorphic facial features that has_material_basis_in homozygous or compound heterozygous mutation in the TMEM237 gene on chromosome 2q33."
"DOID:0060221"	"Maffucci syndrome"	"A syndrome characterized by the presence of multiple enchondromas (benign growths of cartilage) associated with multiple hemangiomas."
"DOID:9007"	"sudden infant death syndrome"	"A syndrome that is characterized by the sudden death of an infant that is not predicted by medical history and remains unexplained after a thorough forensic autopsy and detailed death scene investigation."
"DOID:0110594"	"primary ciliary dyskinesia 1"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer dynein arm defect and in about half of patients situs inversus and has_material_basis_in compound heterozygous mutation in the DNAI1 gene on chromosome 9p13."
"DOID:6692"	"Barre-Lieou syndrome"	"A syndrome that involves occipital head aches, nystagmus on head movement, tinnitus, spasms, blurred vision, corneal hyperaesthesia, and corneal ulcers."
"DOID:0110841"	"Usher syndrome type 3A"	"An Usher syndrome type 3 that has_material_basis_in homozygous or compound heterozygous mutation in the CLRN1 gene on chromosome 3q25."
"DOID:0111528"	"Naegeli-Franceschetti-Jadassohn syndrome"	"A ectodermal dysplasia characterized by reticulate hyperpigmentation that made fade with age, palmoplantar keratoderma, absence of dermatoglyphics, abnormal sweat function and dental anomalies that has_material_basis_in heterozygous mutation in KRT14 on chromosome 17q21.2."
"DOID:0110627"	"primary ciliary dyskinesia 26"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with inner and outer dynein arm defect, neonatal respiratory distress, recurrent upper and lower airway disease, bronchiectasis, and variable occurence of laterality defects and has_material_basis_in homozygous or compound heterozygous mutation in the C21ORF59 gene on chromosome 21q22."
"DOID:0111386"	"inclusion body myopathy with early-onset Paget disease of bone with or without frontotemporal dementia 3"	"An inclusion body myopathy with Paget disease of bone and frontotemporal dementia that has_material_basis_in heterozygous mutation in HNRNPA1 on chromosome 12q13.13."
"DOID:0070119"	"Meckel syndrome 5"	"A Meckel syndrome that has_material_basis_in an autosomal recessive mutation of RPGRIP1L on chromosome 16q12.2."
"DOID:0060612"	"abdominal obesity-metabolic syndrome 3"	"An abdominal obesity-metabolic syndrome that has_material_basis_in heterozygous mutation in the DYRK1B gene on chromosome 19q13."
"DOID:0110629"	"Wolfram syndrome 1"	"An autosomal recessive disease that is characterized by diabetes mellitus, optic atrophy, and deafness as well as various other possible disorders and has_material_basis_in autosomal recessive inheritance of homozygous or compound heterozygous mutation in the WFS1 gene on chromosome 4p16.1."
"DOID:0110609"	"primary ciliary dyskinesia 23"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer dynein arm defect, respiratory distress and recurrent upper and lower airway infections, and variable occurence of situs inversus and has_material_basis_in homozygous or compound heterozygous mutation in the ARMC4 gene on chromosome 10p."
"DOID:11824"	"multicentric reticulohistiocytosis"	"A syndrome that is characterized by papulonodular skin lesions containing a proliferation of true macrophages associated with arthritis."
"DOID:0110596"	"primary ciliary dyskinesia 21"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with a missing Nexin link, infantile onset of chronic sinopulmonary infections, and has_material_basis_in homozygous mutation in the DRC1 gene on chromosome 2p23."
"DOID:0080512"	"Meier-Gorlin syndrome 1"@en	"A Meier-Gorlin syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the ORC1 gene on chromosome 1p32."
"DOID:0110628"	"primary ciliary dyskinesia 24"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with sinopulmonary infection and subfertility and has_material_basis_in homozygous or compound heterozygous mutation in the RSPH1 gene on chromosome 21q22."
"DOID:0050834"	"CHARGE syndrome"	"A syndrome that is acterized by a pattern of congenital anomalies including choanal atresia and malformations of the heart, inner ear, and retina."
"DOID:0060581"	"Noonan syndrome 3"	"A Noonan syndrome that has_material_basis_in heterozygous mutation in the KRAS gene."
"DOID:0111244"	"palmoplantar keratoderma and congenital alopecia 1"	"An ectodermal dysplasia characterized by autosomal dominant inheritance of severe hyperkeratosis, congenital alopecia, and in some patients nail anomalies that has_material_basis_in heterozygous mutation in GJA1 on 6q22.31."
"DOID:13482"	"Proteus syndrome"	"A syndrome that is characterized by overgrowth of the bones, skin, and other tissues."
"DOID:0080533"	"Carney-Stratakis syndrome"@en	"A syndrome that is characterized by the presence of multicentric paragangliomas and multifocal gastrointestinal stromal sarcoma tumors."
"DOID:0080105"	"microcephaly and chorioretinopathy 1"	"A syndrome that is characterized by delayed psychomotor development and visual impairment, often accompanied by short stature and has_material_basis_in homozygous or compound heterozygous mutation in the TUBGCP6 gene."
"DOID:2926"	"Klippel-Trenaunay syndrome"	"A syndrome that is characterized by large cutaneous hemangiomata with hypertrophy of the related bones and soft tissues."
"DOID:0110597"	"primary ciliary dyskinesia 22"	"A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer and inner dynein arm defect, recurrent respiratory infections, persistent rhinosinusitis, otitis media, chronic cough, variable presence of situs abnormalities, and has_material_basis_in homozygous or compound heterozygous mutation in the ZMYND10 gene on chromosome 3p21."
"DOID:0060476"	"Perlman syndrome"	"A syndrome characterized by polyhydramnios with neonatal macrosomia, nephromegaly, distinctive facial appearance, renal dysplasia, nephroblastomatosis, and predisposition to Wilms tumor. It shows similarities to Beckwith-Wiedemann syndrome."
"DOID:0060653"	"lethal congenital contracture syndrome 3"	"A lethal congenital contracture syndrome that has_material_basis_in homozygous mutation in the PIP5K1C gene on chromosome 19p13."
"DOID:0080107"	"microcephaly and chorioretinopathy 3"	"A syndrome that is characterized by congenital microcephaly and chorioretinal dysplasia associated with poor vision and nystagmus and has_material_basis_in compound heterozygous mutation in the TUBGCP4 gene."
"DOID:0060584"	"Noonan syndrome 6"	"A Noonan syndrome that has_material_basis in  heterozygous mutation in the NRAS gene on chromosome 1p13."
"DOID:3047"	"Wissler's syndrome"	"A syndrome that is characterized by four typical symptoms: polymorphous exanthemas, recurrent high fever, leucocytosis and arthralgia."
"DOID:0060566"	"Holzgreve-Wagner-Rehder Syndrome"@en	"A syndrome characterized by Potter sequence, heart defect, cleft palate, polydactyly, and skeletal defects."
"DOID:0111353"	"arthrogryposis, renal dysfunction, and cholestasis 1"	"An arthrogryposis, renal dysfunction, and cholestasis that has_material_basis_in homozygous or compound heterozygous mutation in VPS33B on 15q26.1."
"DOID:0111510"	"Marshall syndrome"	"An ectodermal dysplasia characterized by hypoplasia of the maxilla, nasal bones, and frontal sinuses, as well as calvarial thickening, myopia, early-onset cataracts, and sensorineural hearing loss that has_material_basis_in heterozygous or homozygous mutation (most frequently affecting splice sites) in COL11A1 on chromosome 1p21.1. Mutations, typically null, in COL11A1 may also cause Stickler syndrome."
"DOID:0080516"	"Meier-Gorlin syndrome 5"@en	"A Meier-Gorlin syndrome that has_material_basis_in homozygous mutation in the CDC6 gene on chromosome 17q21."
